OID_,Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE,OID1,Value_1,Freq
196,7301,16224072.000000000000000,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,7301,2301,Tr Boreal Aspen-Birch Forest,Tree,Hardwood,652,Aspen-Birch Forest,SAF 16: Aspen,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,192,255,138,0.752941000000000,1.000000000000000,0.541176000000000,,7301,Rare
197,7302,73413457.000000000000000,Laurentian-Acadian Northern Hardwoods Forest,7302,2302,Tr Laurentian-Acadian Northern Hardwoods Forest,Tree,Hardwood,682,Yellow Birch-Sugar Maple Forest,SAF 27: Sugar Maple,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,171,255,138,0.670588000000000,1.000000000000000,0.541176000000000,,7302,Rare
205,7310,19483172.000000000000000,North-Central Interior Dry-Mesic Oak Forest and Woodland,7310,2310,Tr North-Central Interior Dry-Mesic Oak Forest and Woodland,Tree,Hardwood,660,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333000000000,0.733333000000000,0.760784000000000,,7310,Frequent
206,7311,5933945.000000000000000,North-Central Interior Dry Oak Forest and Woodland,7311,2311,Tr North-Central Interior Dry Oak Forest and Woodland,Tree,Hardwood,663,Black Oak Woodland and Savanna,SAF 110: Black Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,85,187,194,0.333333000000000,0.733333000000000,0.760784000000000,,7311,Frequent
208,7313,3682275.000000000000000,North-Central Interior Beech-Maple Forest,7313,2313,Tr North-Central Interior Beech-Maple Forest,Tree,Hardwood,655,Beech-Maple-Basswood Forest,SAF 25: Sugar Maple-Beech-Yellow Birch,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000,,7313,Rare
209,7314,4789915.000000000000000,North-Central Interior Maple-Basswood Forest,7314,2314,Tr North-Central Interior Maple-Basswood Forest,Tree,Hardwood,655,Beech-Maple-Basswood Forest,SAF 26: Sugar Maple-Basswood,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,171,255,138,0.670588000000000,1.000000000000000,0.541176000000000,,7314,Rare
225,7331,921240.000000000000000,Eastern Great Plains Tallgrass Aspen Forest and Woodland,7331,2331,Tr Eastern Great Plains Tallgrass Aspen Parkland,Tree,Hardwood,602,"Aspen Forest, Woodland, and Parkland",SAF 16: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,192,255,138,0.752941000000000,1.000000000000000,0.541176000000000,,7331,Intermediate
251,7362,5462776.000000000000000,Laurentian-Acadian Northern Pine Forest,7362,2362,Tr Laurentian-Acadian Northern Pine Forest,Tree,Conifer,665,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000,,7362,Intermediate
254,7366,3548659.000000000000000,Laurentian-Acadian Pine-Hemlock Forest,7366,2366,Tr Laurentian-Acadian Pine-Hemlock Forest,Tree,Conifer,685,Pine-Hemlock-Hardwood Forest,SAF 24: Hemlock-Yellow Birch,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000,,7366,Intermediate
273,7385,163.000000000000000,Great Plains Wooded Draw and Ravine Woodland,7385,2385,Tr Western Great Plains Wooded Draw and Ravine,Tree,Riparian,635,Western Riparian Woodland and Shrubland,LF 41: Deciduous Shrubland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,128,97,69,0.501961000000000,0.380392000000000,0.270588000000000,,7385,Rare
281,7394,7978.000000000000000,North-Central Interior Oak Savanna,7394,2394,Tr North-Central Interior Oak Savanna,Tree,Hardwood,659,Bur Oak Woodland and Savanna,SAF 42: Bur Oak,Tree-dominated,Sparse tree canopy,Deciduous sparse tree canopy,6,53,122,0.023529000000000,0.207843000000000,0.478431000000000,,7394,Frequent
282,7395,807279.000000000000000,North-Central Oak Barrens Woodland,7395,2395,Tr North-Central Oak Barrens,Tree,Hardwood,663,Black Oak Woodland and Savanna,SAF 14: Northern Pin Oak,Tree-dominated,Sparse tree canopy,Deciduous sparse tree canopy,44,127,163,0.172549000000000,0.498039000000000,0.639216000000000,,7395,Frequent
292,7407,945076.000000000000000,Laurentian Pine Barrens,7407,2407,Tr Laurentian Pine Barrens,Tree,Conifer,676,Jack Pine Forest,SAF 15: Red Pine,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000,,7407,Frequent
294,7409,3227.000000000000000,Great Lakes Alvar,7409,2409,He Great Lakes Alvar,Herb,Grassland,671,Great Lakes Alvar,SAF 37: Northern White-Cedar,Herbaceous / Nonvascular-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe,216,216,191,0.847059000000000,0.847059000000000,0.749020000000000,,7409,Rare
