OID_,Value,Count,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE,Field1,OID1,Value_1,Count_1,BPS_CODE_1,ZONE_1,BPS_MODEL_1,BPS_NAME_1,GROUPVEG_1,FRI_REPLAC_1,FRI_MIXED_1,FRI_SURFAC_1,FRI_ALLFIR_1,PRC_REPLAC_1,PRC_MIXED_1,PRC_SURFAC_1,FRG_NEW_1,R_1,G_1,B_1,RED_1,GREEN_1,BLUE_1,SI_FRG
1230,1668,164070.000000000000000,13940,39,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,1,3,96,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000,99,,1668,164070,13940,39,13940_39_40_41,North-Central Interior Oak Savanna,Hardwood,550,165,5,5,1,3,96,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000,Frequent
1231,1669,1965130.000000000000000,14120,39,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000,100,,1669,1965130,14120,39,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000,Frequent
1232,1670,34665998.000000000000000,14200,39,14200_39_40_42,Northern Tallgrass Prairie,Grassland,6,-9999,-9999,6,100,-9999,-9999,II-B,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000,101,,1670,34665998,14200,39,14200_39_40_42,Northern Tallgrass Prairie,Grassland,6,-9999,-9999,6,100,-9999,-9999,II-B,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000,Frequent
1233,1671,2131001.000000000000000,14690,39,14690_31_39_40_43,Eastern Great Plains Floodplain Systems,Riparian,517,77,176,48,9,63,28,III-A,75,170,190,0.294118000000000,0.666667000000000,0.745098000000000,102,,1671,2131001,14690,39,14690_31_39_40_43,Eastern Great Plains Floodplain Systems,Riparian,517,77,176,48,9,63,28,III-A,75,170,190,0.294118000000000,0.666667000000000,0.745098000000000,Intermediate
1234,1672,489394.000000000000000,14820,39,14820_39_40,Great Plains Prairie Pothole,Grassland,50,-9999,-9999,50,100,-9999,-9999,IV-A,156,100,163,0.611765000000000,0.392157000000000,0.639216000000000,103,,1672,489394,14820,39,14820_39_40,Great Plains Prairie Pothole,Grassland,50,-9999,-9999,50,100,-9999,-9999,IV-A,156,100,163,0.611765000000000,0.392157000000000,0.639216000000000,Intermediate
1679,2117,8993073.000000000000000,13100,42,13100_38_42_43,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,126,50,76,24,19,49,32,I-C,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000,129,,2117,9000898,13100,42,13100_38_42_43,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,126,50,76,24,19,49,32,I-C,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000,Frequent
1680,2118,181214.000000000000000,13110,42,13110_42_43,North-Central Interior Dry Oak Forest and Woodland,Hardwood,141,111,11,9,7,8,85,I-B,179,207,143,0.701961000000000,0.811765000000000,0.560784000000000,130,,2118,182017,13110,42,13110_42_43,North-Central Interior Dry Oak Forest and Woodland,Hardwood,141,111,11,9,7,8,85,I-B,179,207,143,0.701961000000000,0.811765000000000,0.560784000000000,Frequent
1681,2119,3582877.000000000000000,13140,42,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000,131,,2119,3585341,13140,42,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000,Rare
1682,2120,114229.000000000000000,13850,42,13850_31_39_40_42,Western Great Plains Wooded Draw and Ravine,Shrubland,91,65,230,32,36,50,14,I-C,168,168,0,0.658824000000000,0.658824000000000,0.000000000000000,132,,2120,114237,13850,42,13850_31_39_40_42,Western Great Plains Wooded Draw and Ravine,Shrubland,91,65,230,32,36,50,14,I-C,168,168,0,0.658824000000000,0.658824000000000,0.000000000000000,Intermediate
1683,2121,229418.000000000000000,13940,42,13940_42,North-Central Interior Oak Savanna,Hardwood,530,167,5,5,1,3,96,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000,133,,2121,230052,13940,42,13940_42,North-Central Interior Oak Savanna,Hardwood,530,167,5,5,1,3,96,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000,Frequent
1684,2122,19880.000000000000000,13950,42,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,341,246,5,5,1,2,97,I-A,255,235,176,1.000000000000000,0.921569000000000,0.690196000000000,134,,2122,20177,13950,42,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,341,246,5,5,1,2,97,I-A,255,235,176,1.000000000000000,0.921569000000000,0.690196000000000,Frequent
1685,2123,187926.000000000000000,14120,42,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000,135,,2123,187996,14120,42,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland,4,-9999,87,3,96,-9999,4,II-A,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000,Frequent
1686,2124,4054859.000000000000000,14200,42,14200_39_40_42,Northern Tallgrass Prairie,Grassland,6,-9999,-9999,6,100,-9999,-9999,II-B,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000,136,,2124,4055101,14200,42,14200_39_40_42,Northern Tallgrass Prairie,Grassland,6,-9999,-9999,6,100,-9999,-9999,II-B,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000,Frequent
1687,2125,4556982.000000000000000,14210,42,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Grassland,4,-9999,-9999,4,100,-9999,-9999,II-A,232,255,196,0.909804000000000,1.000000000000000,0.768627000000000,137,,2125,4557838,14210,42,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Grassland,4,-9999,-9999,4,100,-9999,-9999,II-A,232,255,196,0.909804000000000,1.000000000000000,0.768627000000000,Frequent
1688,2126,598190.000000000000000,14690,42,14690_38_42_49,Eastern Great Plains Floodplain Systems,Riparian,510,76,177,48,10,63,27,III-A,75,170,190,0.294118000000000,0.666667000000000,0.745098000000000,138,,2126,598190,14690,42,14690_38_42_49,Eastern Great Plains Floodplain Systems,Riparian,510,76,177,48,10,63,27,III-A,75,170,190,0.294118000000000,0.666667000000000,0.745098000000000,Intermediate
1689,2127,1709310.000000000000000,14710,42,14710_42_43,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,139,,2127,1763112,14710,42,14710_42_43,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,NA
1690,2128,87158.000000000000000,14790,42,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,100,-9999,-9999,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000,140,,2128,87158,14790,42,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,100,-9999,-9999,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000,Rare
1691,2129,23221.000000000000000,14880,42,14880_38_42_43,Eastern Great Plains Wet Meadow-Prairie-Marsh,Grassland,3,-9999,-9999,3,100,-9999,-9999,II-A,148,20,51,0.580392000000000,0.078431000000000,0.200000000000000,141,,2129,23221,14880,42,14880_38_42_43,Eastern Great Plains Wet Meadow-Prairie-Marsh,Grassland,3,-9999,-9999,3,100,-9999,-9999,II-A,148,20,51,0.580392000000000,0.078431000000000,0.200000000000000,Frequent
1692,2130,164849.000000000000000,14930,42,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,100,-9999,-9999,II-C,240,150,20,0.941176000000000,0.588235000000000,0.078431000000000,142,,2130,164849,14930,42,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,100,-9999,-9999,II-C,240,150,20,0.941176000000000,0.588235000000000,0.078431000000000,Frequent
1693,2131,177586.000000000000000,15170,42,15170_42_49_50,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,15,126,102,12,79,9,12,II-B,106,117,0,0.415686000000000,0.458824000000000,0.000000000000000,143,,2131,178229,15170,42,15170_42_49_50,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,15,126,102,12,79,9,12,II-B,106,117,0,0.415686000000000,0.458824000000000,0.000000000000000,Frequent
1746,2723,1615204.000000000000000,13620,41,13620_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,355,680,12,11,3,2,95,I-B,255,191,191,1.000000000000000,0.749020000000000,0.749020000000000,144,,2723,1617802,13620,41,13620_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,355,680,12,11,3,2,95,I-B,255,191,191,1.000000000000000,0.749020000000000,0.749020000000000,Frequent
1747,2724,6424021.000000000000000,13622,41,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,230,-9999,40,34,15,-9999,85,I-C,255,167,127,1.000000000000000,0.654902000000000,0.498039000000000,145,,2724,9730959,13622,41,13622_41_50,Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,230,-9999,40,34,15,-9999,85,I-C,255,167,127,1.000000000000000,0.654902000000000,0.498039000000000,Intermediate
