Value,Count,BPS_CODE,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,R,G,B,RED,GREEN,BLUE
1590,7138141.000000000000000,13100,North-Central Interior Dry-Mesic Oak Forest and Woodland,74,56,23,13,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000
1591,12175245.000000000000000,13140,North-Central Interior Maple-Basswood Forest,1027,-9999,857,467,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000
1592,457321.000000000000000,13310,Eastern Great Plains Tallgrass Aspen Parkland,16,-9999,8,6,220,240,0,0.862745000000000,0.941176000000000,0.000000000000000
1593,3460313.000000000000000,13440,Boreal Jack Pine-Black Spruce Forest,82,-9999,-9999,82,255,140,140,1.000000000000000,0.549020000000000,0.549020000000000
1596,13018302.000000000000000,13651,Boreal White Spruce-Fir-Hardwood Forest-Inland,250,1468,-9999,213,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000
1597,2540756.000000000000000,13652,Boreal White Spruce-Fir-Hardwood Forest-Coastal,939,1147,-9999,516,110,137,70,0.431373000000000,0.537255000000000,0.274510000000000
1598,14764984.000000000000000,13653,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,112,243,-9999,76,255,255,145,1.000000000000000,1.000000000000000,0.568627000000000
1599,8909275.000000000000000,13940,North-Central Interior Oak Savanna,550,165,5,5,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000
1600,2501596.000000000000000,13950,North-Central Oak Barrens,341,246,5,5,255,235,176,1.000000000000000,0.921569000000000,0.690196000000000
1601,498108.000000000000000,14071,Laurentian Pine-Oak Barrens,109,75,5,4,153,66,0,0.600000000000000,0.258824000000000,0.000000000000000
1602,11046083.000000000000000,14072,Laurentian Pine-Oak Barrens-Jack Pine,25,46,18,8,153,66,100,0.600000000000000,0.258824000000000,0.392157000000000
1603,3016992.000000000000000,14120,North-Central Interior Sand and Gravel Tallgrass Prairie,4,-9999,87,3,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000
1604,10630183.000000000000000,14200,Northern Tallgrass Prairie,4,-9999,-9999,4,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000
1605,3308445.000000000000000,14440,Eastern Boreal Floodplain,-9999,581,312,203,69,69,156,0.270588000000000,0.270588000000000,0.611765000000000
1606,777077.000000000000000,14710,Central Interior and Appalachian Floodplain Systems,-9999,432,67,58,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000
1607,2298879.000000000000000,14750,Laurentian-Acadian Floodplain Systems,-9999,435,68,59,122,143,245,0.478431000000000,0.560784000000000,0.960784000000000
1608,20227200.000000000000000,14770,Boreal Acidic Peatland Systems,716,-9999,123,105,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000
1609,1102775.000000000000000,14790,Central Interior and Appalachian Swamp Systems,987,-9999,-9999,987,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000
1610,5172789.000000000000000,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,989,-9999,-9999,989,232,189,255,0.909804000000000,0.741176000000000,1.000000000000000
1611,2289.000000000000000,14920,Great Lakes Coastal Marsh Systems,-9999,-9999,-9999,-9999,122,245,202,0.478431000000000,0.960784000000000,0.792157000000000
1612,2605159.000000000000000,14930,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,17,-9999,-9999,17,240,150,20,0.941176000000000,0.588235000000000,0.078431000000000
1613,4417576.000000000000000,14940,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,18,-9999,-9999,18,0,168,107,0.000000000000000,0.658824000000000,0.419608000000000
1614,23634794.000000000000000,13022,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,2040,-9999,-9999,2040,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000
1615,10454292.000000000000000,13022,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,2040,-9999,-9999,2040,76,230,150,0.298039000000000,0.901961000000000,0.588235000000000
1616,457857.000000000000000,13023,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,1016,-9999,-9999,1016,38,105,0,0.149020000000000,0.411765000000000,0.000000000000000
1617,8839521.000000000000000,13100,North-Central Interior Dry-Mesic Oak Forest and Woodland,161,160,11,9,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000
1618,3232093.000000000000000,13110,North-Central Interior Dry Oak Forest and Woodland,137,111,11,9,179,207,143,0.701961000000000,0.811765000000000,0.560784000000000
1619,30755083.000000000000000,13130,North-Central Interior Beech-Maple Forest,1004,-9999,836,456,0,156,44,0.000000000000000,0.611765000000000,0.172549000000000
1620,2945536.000000000000000,13441,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,34,64,7,5,255,140,140,1.000000000000000,0.549020000000000,0.549020000000000
1621,301468.000000000000000,13442,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,112,-9999,-9999,112,135,200,114,0.529412000000000,0.784314000000000,0.447059000000000
1622,14317662.000000000000000,13620,Laurentian-Acadian Northern Pine(-Oak) Forest,309,447,65,48,255,191,191,1.000000000000000,0.749020000000000,0.749020000000000
1623,5705783.000000000000000,13651,Boreal White Spruce-Fir-Hardwood Forest-Inland,490,524,-9999,253,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000
1624,3317735.000000000000000,13652,Boreal White Spruce-Fir-Hardwood Forest-Coastal,872,1306,-9999,523,110,137,70,0.431373000000000,0.537255000000000,0.274510000000000
1625,8651989.000000000000000,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,482,998,289,153,208,255,99,0.815686000000000,1.000000000000000,0.388235000000000
1626,1245281.000000000000000,13940,North-Central Interior Oak Savanna,66,184,5,5,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000
1627,7617028.000000000000000,13950,North-Central Oak Barrens,49,180,6,5,255,235,176,1.000000000000000,0.921569000000000,0.690196000000000
