"","OID_","Value","Count","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","SI_FRG"
"126",1596,2034,18679,14720,49,"14720_49","Central Interior and Appalachian Riparian Systems","Riparian",996,-9999,198,165,17,-9999,83,"III-B",36,255,20,0.141176,1,0.078431,"Intermediate"
"127",1597,2035,41,15170,49,"15170_42_49_50","Paleozoic Plateau Bluff and Talus","Hardwood-Conifer",15,126,102,12,79,9,12,"II-B",106,117,0,0.415686,0.458824,0,"Frequent"
"128",1598,2036,7883,15180,49,"15180_43_47_49_52_62_63_64_65","North-Central Interior Wet Flatwoods","Hardwood",993,-9999,-9999,993,100,-9999,-9999,"V-B",211,237,38,0.827451,0.929412,0.14902,"Rare"
"129",1679,2117,9000898,13100,42,"13100_38_42_43","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",126,50,76,24,19,49,32,"I-C",176,163,222,0.690196,0.639216,0.870588,"Frequent"
"130",1680,2118,182017,13110,42,"13110_42_43","North-Central Interior Dry Oak Forest and Woodland","Hardwood",141,111,11,9,7,8,85,"I-B",179,207,143,0.701961,0.811765,0.560784,"Frequent"
"131",1681,2119,3585341,13140,42,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,-9999,857,467,46,-9999,54,"V-A",237,161,102,0.929412,0.631373,0.4,"Rare"
"132",1682,2120,114237,13850,42,"13850_31_39_40_42","Western Great Plains Wooded Draw and Ravine","Shrubland",91,65,230,32,36,50,14,"I-C",168,168,0,0.658824,0.658824,0,"Intermediate"
"133",1683,2121,230052,13940,42,"13940_42","North-Central Interior Oak Savanna","Hardwood",530,167,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176,"Frequent"
"134",1684,2122,20177,13950,42,"13950_41_42_43_49_52","North-Central Oak Barrens","Hardwood",341,246,5,5,1,2,97,"I-A",255,235,176,1,0.921569,0.690196,"Frequent"
"135",1685,2123,187996,14120,42,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,"Frequent"
"136",1686,2124,4055101,14200,42,"14200_39_40_42","Northern Tallgrass Prairie","Grassland",6,-9999,-9999,6,100,-9999,-9999,"II-B",184,132,29,0.721569,0.517647,0.113725,"Frequent"
"137",1687,2125,4557838,14210,42,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,-9999,-9999,4,100,-9999,-9999,"II-A",232,255,196,0.909804,1,0.768627,"Frequent"
"138",1688,2126,598190,14690,42,"14690_38_42_49","Eastern Great Plains Floodplain Systems","Riparian",510,76,177,48,10,63,27,"III-A",75,170,190,0.294118,0.666667,0.745098,"Intermediate"
"139",1689,2127,1763112,14710,42,"14710_42_43","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,191,176,0,0.74902,0.690196,"NA"
"140",1690,2128,87158,14790,42,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,100,-9999,-9999,"V-B",207,61,255,0.811765,0.239216,1,"Rare"
"141",1691,2129,23221,14880,42,"14880_38_42_43","Eastern Great Plains Wet Meadow-Prairie-Marsh","Grassland",3,-9999,-9999,3,100,-9999,-9999,"II-A",148,20,51,0.580392,0.078431,0.2,"Frequent"
"142",1692,2130,164849,14930,42,"14930_41_42_44_50","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,-9999,-9999,17,100,-9999,-9999,"II-C",240,150,20,0.941176,0.588235,0.078431,"Frequent"
"143",1693,2131,178229,15170,42,"15170_42_49_50","Paleozoic Plateau Bluff and Talus","Hardwood-Conifer",15,126,102,12,79,9,12,"II-B",106,117,0,0.415686,0.458824,0,"Frequent"
"144",1746,2723,1617802,13620,41,"13620_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest","Hardwood-Conifer",355,680,12,11,3,2,95,"I-B",255,191,191,1,0.74902,0.74902,"Frequent"
"145",1747,2724,9730959,13622,41,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,-9999,40,34,15,-9999,85,"I-C",255,167,127,1,0.654902,0.498039,"Intermediate"
"146",1748,2725,2200569,13620,50,"13620_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest","Hardwood-Conifer",355,680,12,11,3,2,95,"I-B",255,191,191,1,0.74902,0.74902,"Frequent"
"147",1749,2726,8532583,13622,50,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,-9999,40,34,15,-9999,85,"I-C",255,167,127,1,0.654902,0.498039,"Intermediate"
